date,store,category,units_sold,revenue
2025-08-15,Syracuse,Clothing,63.0,1606.5
2025-12-07,Albany,electronics,27.0,2279.61
2025-10-27,Rome,groceries,134.0,875.02
2025-12-25,Syracuse,Home_Goods,31.0,1043.15
2025-09-29,Utica,ELECTRONICS,39.0,3312.27
2025-01-30,Utica,Home_Goods,43.0,1256.89
2025-06-18,Syracuse,groceries,107.0,740.44
2025-05-16,Syracuse,Clothing,69.0,1669.8
2025-06-05,Syracuse,Home_Goods,25.0,750.75
2025-07-16,Albany,Toys,23.0,342.24
2025-11-02,Syracuse,electronics,60.0,4918.2
2025-07-14,Rome,groceries,111.0,781.44
2025-04-09,Rome,groceries,99.0,724.68
2025-08-26,Utica,Cloth ing,35.0,775.6
2025-07-21,Albany,Groceries,111.0,674.88
2025-03-02,Utica,Cloth ing,76.0,1874.92
2025-01-09,Utica,Groceries,189.0,1215.27
2025-10-19,Rome,Electronics,70.0,5440.4
2025-07-22,Albany,Toys,26.0,363.48
2025-04-17,Rome,Clothing,59.0,1396.53
2025-10-25,Syracuse,Electronics,41.0,3385.78
2025-09-27,Rome,electronics,48.0,4152.48
2025-03-04,Rome,Toys,31.0,463.76
2025-02-04,Albany,Groceries,112.0,726.88
2025-04-17,Albany,clothing,80.0,2006.4
2025-01-25,Rome,home goods,57.0,1809.18
2025-11-16,Syracuse,clothing,66.0,1611.06
2025-02-23,Syracuse,Electronics,49.0,
2025-08-31,Syracuse,Toys,24.0,364.8
2025-09-03,Rome,Home_Goods,41.0,1263.21
2025-02-18,Syracuse,Groceries,131.0,830.54
2025-08-10,Rome,ELECTRONICS,57.0,4721.88
2025-04-11,Albany,ELECTRONICS,22.0,1950.96
2025-10-26,Albany,Toys,34.0,493.34
2025-02-21,Syracuse,toys,14.0,199.64
2025-04-20,Utica,clothing,75.0,1990.5
2025-08-26,Utica,electronics,32.0,2727.36
2025-02-10,Rome,toys,24.0,371.04
2025-02-18,Utica,Groceries,138.0,887.34
2025-03-08,Albany,home goods,45.0,1469.7
2025-12-26,Utica,home goods,22.0,699.82
2025-02-21,Albany,Cloth ing,24.0,560.64
2025-07-19,Syracuse,Toys,26.0,386.1
2025-08-04,Syracuse,toys,27.0,390.69
2025-11-01,Utica,clothing,51.0,1333.65
2025-12-27,Albany,toys,32.0,505.28
2025-12-27,Rome,Electronics,54.0,4481.46
2025-06-25,Syracuse,toys,29.0,443.99
2025-06-26,Rome,toys,27.0,355.59
2025-11-07,Utica,Electronics,38.0,3244.44
2025-06-25,Utica,electronics,42.0,3643.5
2025-02-14,Syracuse,Electronics,47.0,3939.07
2025-04-24,Rome,Electronics,39.0,3262.35
2025-12-18,Utica,Cloth ing,,1130.92
2025-07-30,Utica,Home Goods,29.0,
2025-10-17,Albany,toys,14.0,205.8
2025-01-01,Albany,Toys,27.0,385.56
2025-06-30,Albany,Groceries,181.0,1203.65
2025-06-28,Utica,groceries,197.0,1270.65
2025-01-31,Syracuse,Home_Goods,39.0,1241.37
2025-07-01,Utica,home goods,42.0,1285.62
2025-12-02,Rome,Electronics,59.0,4816.76
2025-02-16,Rome,groceries,150.0,979.5
2025-09-15,Albany,Clothing,40.0,883.2
2025-04-26,Albany,clothing,62.0,1477.46
2025-12-08,Utica,Home_Goods,30.0,973.2
2025-10-04,Utica,Cloth ing,57.0,1343.49
2025-04-08,Syracuse,Toys,20.0,284.4
2025-12-06,Syracuse,Cloth ing,94.0,2394.18
2025-05-09,Rome,groceries,149.0,928.27
2025-08-30,Utica,Home_Goods,,1262.91
2025-06-30,Utica,clothing,60.0,1423.8
2025-03-07,Rome,Home_Goods,28.0,977.76
2025-03-10,Albany,Toys,31.0,498.17
2025-08-02,Albany,toys,22.0,312.62
2025-01-28,Syracuse,toys,23.0,302.22
2025-02-07,Syracuse,Cloth ing,46.0,1259.02
2025-05-13,Utica,home goods,17.0,558.62
2025-06-20,Rome,Home_Goods,37.0,1216.19
2025-10-31,Rome,home goods,31.0,950.46
2025-08-04,Utica,Electronics,63.0,5066.46
2025-08-30,Rome,toys,29.0,409.19
2025-07-21,Rome,Home Goods,24.0,796.08
2025-05-05,Utica,Toys,24.0,374.16
2025-05-24,Syracuse,groceries,155.0,948.6
2025-01-09,Rome,Clothing,58.0,1450.0
2025-01-25,Albany,Toys,32.0,462.08
2025-04-10,Albany,Clothing,52.0,1134.64
2025-01-21,Albany,Clothing,67.0,1704.48
2025-09-11,Utica,toys,22.0,322.52
2025-12-21,Syracuse,Groceries,148.0,1004.92
2025-12-25,Rome,groceries,131.0,846.26
2025-08-01,Syracuse,Cloth ing,34.0,847.28
2025-02-24,Rome,home goods,40.0,1374.4
2025-03-13,Albany,Cloth ing,78.0,1822.86
2025-12-13,Rome,Electronics,61.0,5289.92
2025-04-22,Utica,home goods,39.0,1186.38
2025-09-23,Rome,Toys,26.0,442.26
2025-10-07,Syracuse,Groceries,86.0,621.78
2025-08-06,Syracuse,groceries,125.0,861.25
2025-08-08,Albany,Home Goods,31.0,1031.37
2025-09-23,Albany,Clothing,40.0,924.0
2025-09-12,Utica,Groceries,111.0,711.51
2025-04-02,Rome,groceries,48.0,317.28
2025-02-08,Utica,home goods,24.0,730.32
2025-04-26,Rome,Groceries,164.0,1010.24
2025-02-08,Albany,Groceries,164.0,1049.6
2025-04-27,Rome,ELECTRONICS,56.0,4811.52
2025-02-27,Rome,Home_Goods,33.0,1059.63
2025-02-09,Rome,Clothing,88.0,2162.16
2025-05-30,Rome,electronics,35.0,2906.75
2025-10-14,Syracuse,Home Goods,39.0,1226.16
2025-03-14,Albany,clothing,37.0,832.5
2025-09-07,Albany,Home Goods,32.0,1143.04
2025-01-11,Albany,Clothing,72.0,1820.16
2025-05-05,Rome,Toys,29.0,464.87
2025-05-21,Syracuse,Cloth ing,72.0,1717.92
2025-08-07,Syracuse,Home Goods,44.0,1383.8
2025-10-13,Utica,groceries,122.0,889.38
2025-02-18,Utica,Home_Goods,42.0,1352.4
2025-07-28,Rome,groceries,87.0,553.32
2025-08-08,Utica,Groceries,136.0,920.72
2025-07-20,Syracuse,Electronics,43.0,3739.28
2025-07-30,Utica,clothing,50.0,1186.5
2025-03-01,Utica,clothing,100.0,2321.0
2025-02-16,Albany,clothing,70.0,1848.7
2025-05-03,Albany,Cloth ing,74.0,1794.5
2025-04-01,Rome,Home_Goods,37.0,1250.23
2025-11-05,Syracuse,Groceries,140.0,862.4
2025-03-02,Albany,clothing,89.0,2240.13
2025-04-21,Syracuse,groceries,217.0,1484.28
2025-04-26,Syracuse,electronics,59.0,5493.49
2025-01-05,Rome,toys,34.0,514.42
2025-06-10,Utica,clothing,66.0,1465.2
2025-07-27,Albany,Groceries,216.0,1440.72
2025-06-26,Rome,groceries,135.0,815.4
2025-09-05,Albany,Clothing,40.0,1019.6
2025-10-29,Utica,Cloth ing,56.0,
2025-02-18,Rome,toys,23.0,336.49
2025-07-06,Syracuse,Home_Goods,48.0,1573.44
2025-08-02,Syracuse,Home_Goods,48.0,1562.4
2025-04-09,Syracuse,toys,25.0,363.25
2025-09-01,Syracuse,Electronics,51.0,4338.57
2025-12-23,Rome,clothing,61.0,1308.45
2025-05-23,Utica,Toys,31.0,460.04
2025-01-04,Albany,Toys,43.0,649.3
2025-01-30,Syracuse,toys,23.0,336.49
2025-09-22,Utica,Toys,22.0,339.9
2025-07-17,Syracuse,groceries,139.0,795.08
2025-12-17,Utica,Electronics,51.0,4177.92
2025-07-15,Albany,Home Goods,49.0,1737.54
2025-04-16,Utica,toys,27.0,410.67
2025-11-21,Rome,toys,26.0,390.26
2025-07-17,Albany,groceries,142.0,923.0
2025-12-11,Syracuse,Toys,23.0,324.3
2025-01-19,Utica,ELECTRONICS,44.0,3572.8
2025-09-14,Rome,Clothing,117.0,3039.66
2025-12-29,Utica,Cloth ing,71.0,1750.86
2025-07-20,Utica,ELECTRONICS,62.0,5457.24
2025-02-15,Albany,toys,37.0,563.88
2025-05-18,Albany,Toys,35.0,521.5
2025-09-01,Rome,electronics,34.0,3190.22
2025-05-25,Rome,Home Goods,40.0,1276.4
2025-07-22,Rome,Home Goods,55.0,1795.75
2025-10-31,Rome,clothing,79.0,1998.7
2025-07-06,Utica,Electronics,46.0,3909.54
2025-10-09,Utica,Home_Goods,31.0,1056.79
2025-03-18,Syracuse,Cloth ing,75.0,1794.0
2025-07-23,Syracuse,Electronics,39.0,3247.53
2025-03-08,Albany,clothing,88.0,2170.08
2025-06-12,Rome,Electronics,21.0,1517.04
2025-03-01,Syracuse,Electronics,37.0,3267.47
2025-12-30,Utica,toys,25.0,382.0
2025-11-13,Utica,groceries,118.0,762.28
2025-09-09,Syracuse,Clothing,65.0,1625.65
2025-09-06,Syracuse,electronics,66.0,5571.72
2025-02-11,Utica,toys,17.0,247.52
2025-03-02,Utica,home goods,46.0,1459.58
2025-11-08,Rome,Groceries,132.0,927.96
2025-04-22,Utica,groceries,134.0,817.4
2025-07-31,Albany,Clothing,57.0,1439.25
2025-07-24,Rome,Home Goods,35.0,1149.75
2025-03-18,Albany,clothing,51.0,1115.37
2025-08-07,Rome,toys,23.0,368.69
2025-10-01,Syracuse,Home_Goods,46.0,1592.06
2025-07-05,Utica,ELECTRONICS,46.0,4187.38
2025-10-28,Albany,toys,14.0,191.66
2025-10-02,Albany,groceries,114.0,734.16
2025-10-24,Albany,Cloth ing,61.0,1503.65
2025-09-28,Albany,toys,26.0,365.04
2025-02-08,Albany,Home Goods,44.0,1368.4
2025-10-03,Utica,Cloth ing,50.0,1019.0
2025-08-06,Syracuse,Clothing,71.0,1664.24
2025-05-20,Syracuse,Home_Goods,38.0,1173.06
2025-10-01,Albany,ELECTRONICS,40.0,3303.6
2025-09-27,Albany,electronics,43.0,4042.0
2025-08-13,Albany,Toys,18.0,276.12
2025-05-15,Rome,groceries,141.0,862.92
2025-11-02,Rome,Clothing,74.0,1919.56
2025-06-05,Syracuse,Cloth ing,80.0,2083.2
2025-01-26,Rome,home goods,33.0,1039.17
2025-03-22,Rome,Toys,24.0,354.0
2025-03-26,Rome,Clothing,50.0,1132.5
2025-10-27,Utica,groceries,125.0,843.75
2025-06-05,Utica,Groceries,101.0,661.55
2025-06-02,Albany,Cloth ing,39.0,1019.85
2025-08-17,Syracuse,home goods,35.0,1002.4
2025-03-23,Albany,toys,32.0,474.88
2025-12-05,Syracuse,groceries,122.0,744.2
2025-11-02,Rome,toys,36.0,563.4
2025-05-20,Utica,ELECTRONICS,35.0,2999.15
2025-02-09,Utica,electronics,43.0,3777.98
2025-02-22,Rome,toys,36.0,515.52
2025-08-17,Utica,Toys,33.0,513.48
2025-12-09,Syracuse,electronics,29.0,2431.94
2025-09-25,Rome,Clothing,50.0,1174.5
2025-02-10,Utica,home goods,50.0,1714.0
2025-11-03,Syracuse,electronics,45.0,3812.4
2025-03-25,Rome,Home Goods,39.0,1252.29
2025-01-07,Syracuse,toys,36.0,559.8
2025-07-21,Utica,Home Goods,22.0,677.6
2025-06-01,Syracuse,Toys,29.0,470.09
2025-09-08,Albany,groceries,146.0,944.62
2025-07-07,Utica,groceries,117.0,712.53
2025-07-07,Albany,groceries,85.0,506.6
2025-06-22,Utica,groceries,154.0,914.76
2025-02-08,Utica,electronics,63.0,5434.38
2025-07-10,Syracuse,toys,9.0,123.66
2025-03-23,Utica,clothing,66.0,1566.84
2025-04-07,Rome,Toys,26.0,402.48
2025-10-31,Syracuse,groceries,123.0,773.67
2025-09-02,Albany,ELECTRONICS,43.0,3510.52
2025-12-25,Albany,toys,26.0,423.02
2025-03-03,Syracuse,Home Goods,42.0,1295.28
2025-01-19,Utica,Clothing,78.0,2035.8
2025-08-23,Rome,home goods,51.0,1649.85
2025-02-03,Utica,Electronics,38.0,3450.4
2025-09-23,Utica,ELECTRONICS,41.0,3300.5
2025-12-29,Albany,Home Goods,22.0,
2025-05-05,Syracuse,Electronics,45.0,3795.75
2025-03-02,Albany,Toys,42.0,627.9
2025-11-11,Albany,Home_Goods,44.0,1447.16
2025-09-04,Syracuse,electronics,39.0,3128.58
2025-09-10,Syracuse,clothing,90.0,2254.5
2025-02-04,Albany,Clothing,67.0,1842.5
2025-08-16,Albany,home goods,40.0,1281.6
2025-09-28,Utica,Home Goods,35.0,1106.0
2025-11-04,Rome,groceries,134.0,900.48
2025-02-27,Utica,toys,22.0,353.1
2025-04-30,Utica,Cloth ing,53.0,1153.81
2025-09-26,Albany,electronics,36.0,3189.24
2025-10-11,Albany,clothing,79.0,1997.12
2025-11-04,Syracuse,Clothing,45.0,1077.75
2025-10-02,Rome,Cloth ing,77.0,1831.83
2025-06-07,Rome,toys,27.0,399.06
2025-02-03,Syracuse,Clothing,35.0,741.65
2025-01-26,Utica,groceries,139.0,935.47
2025-02-17,Rome,Home Goods,34.0,1151.58
2025-06-29,Albany,electronics,40.0,3566.0
2025-03-29,Rome,Cloth ing,76.0,1915.96
2025-01-30,Syracuse,electronics,33.0,3012.24
2025-09-13,Utica,Clothing,51.0,1280.1
2025-01-18,Utica,Home Goods,54.0,1816.56
2025-03-30,Syracuse,toys,34.0,
2025-09-24,Syracuse,groceries,144.0,925.92
2025-12-11,Utica,Electronics,51.0,4511.97
2025-05-16,Syracuse,electronics,49.0,4392.36
2025-08-20,Albany,Cloth ing,49.0,1109.85
2025-08-20,Albany,Toys,33.0,520.74
2025-11-27,Rome,groceries,62.0,378.82
2025-04-27,Albany,Home_Goods,36.0,1191.24
2025-07-24,Albany,clothing,51.0,1236.75
2025-01-04,Utica,Home_Goods,49.0,1490.58
2025-10-02,Utica,Groceries,94.0,591.26
2025-07-01,Albany,Cloth ing,87.0,2109.75
2025-11-11,Utica,Groceries,119.0,763.98
2025-02-22,Utica,Home Goods,41.0,1362.43
2025-04-10,Rome,Home Goods,49.0,1636.11
2025-08-15,Utica,groceries,128.0,825.6
2025-11-13,Utica,Home Goods,28.0,847.84
2025-03-11,Albany,clothing,64.0,1659.52
2025-01-18,Utica,toys,27.0,383.13
2025-12-31,Utica,Home_Goods,27.0,744.93
2025-04-05,Utica,groceries,198.0,1287.0
2025-05-22,Albany,clothing,87.0,2061.9
2025-12-17,Syracuse,Cloth ing,66.0,1524.6
2025-02-13,Albany,Toys,18.0,279.0
2025-07-13,Albany,home goods,50.0,1666.5
2025-02-16,Utica,toys,20.0,285.0
2025-06-21,Rome,Electronics,68.0,5984.68
2025-10-27,Utica,toys,28.0,415.24
2025-12-14,Rome,electronics,41.0,3419.81
2025-01-06,Albany,Toys,24.0,335.28
2025-07-02,Utica,home goods,41.0,1164.81
2025-05-08,Syracuse,clothing,61.0,1500.6
2025-05-18,Utica,clothing,77.0,1858.78
2025-10-15,Syracuse,home goods,40.0,1298.4
2025-04-13,Rome,clothing,86.0,2132.8
2025-05-23,Albany,home goods,40.0,1394.4
2025-10-07,Albany,Clothing,55.0,1372.8
2025-12-23,Albany,Groceries,128.0,861.44
2025-10-02,Syracuse,Toys,28.0,432.32
2025-07-20,Rome,Groceries,117.0,809.64
2025-06-22,Albany,home goods,38.0,1298.84
2025-08-11,Albany,Groceries,138.0,950.82
2025-10-17,Syracuse,Clothing,59.0,1436.06
2025-05-03,Syracuse,Groceries,144.0,874.08
2025-01-12,Rome,Groceries,202.0,1288.76
2025-03-06,Albany,Toys,19.0,277.97
2025-01-13,Albany,home goods,36.0,1068.48
2025-05-18,Rome,Toys,39.0,602.94
2025-07-20,Syracuse,groceries,218.0,1506.38
2025-04-04,Utica,clothing,49.0,1267.14
2025-01-11,Syracuse,Home Goods,53.0,1635.05
2025-03-01,Utica,Toys,34.0,512.38
2025-03-18,Rome,Home_Goods,18.0,600.84
2025-06-07,Syracuse,clothing,81.0,1964.25
2025-12-26,Syracuse,Electronics,25.0,2293.5
2025-06-01,Syracuse,clothing,127.0,3112.77
2025-01-12,Rome,Toys,21.0,301.98
2025-08-05,Albany,Clothing,59.0,1292.69
2025-12-28,Albany,home goods,45.0,1581.75
2025-06-29,Albany,Toys,,711.0
2025-12-12,Syracuse,Home Goods,49.0,1527.33
2025-01-07,Albany,Toys,30.0,442.5
2025-10-10,Rome,groceries,176.0,1135.2
2025-03-28,Syracuse,Toys,13.0,200.33
2025-10-10,Utica,electronics,28.0,2213.96
2025-03-31,Albany,Home Goods,31.0,993.55
2025-12-12,Utica,Groceries,116.0,787.64
2025-03-08,Utica,Cloth ing,81.0,2062.26
2025-02-08,Utica,Groceries,162.0,994.68
2025-03-26,Utica,Groceries,95.0,658.35
2025-07-09,Albany,Electronics,36.0,3306.96
2025-03-01,Rome,ELECTRONICS,60.0,4849.8
2025-11-05,Rome,groceries,162.0,1046.52
2025-05-16,Rome,ELECTRONICS,54.0,4811.4
2025-04-11,Rome,ELECTRONICS,43.0,3948.69
2025-08-25,Rome,Toys,24.0,374.16
2025-09-30,Utica,ELECTRONICS,60.0,5475.0
2025-08-26,Syracuse,groceries,116.0,874.64
2025-10-10,Rome,Electronics,27.0,2253.15
2025-12-30,Rome,Groceries,48.0,322.08
2025-05-20,Rome,ELECTRONICS,38.0,3220.5
2025-02-25,Syracuse,Home_Goods,46.0,1580.1
2025-05-04,Rome,toys,35.0,508.9
2025-07-18,Rome,Groceries,110.0,669.9
2025-08-18,Rome,toys,27.0,417.96
2025-03-30,Syracuse,groceries,166.0,966.12
2025-12-31,Syracuse,Home Goods,44.0,1471.8
2025-05-07,Utica,Home_Goods,41.0,1149.23
2025-12-08,Albany,electronics,36.0,3045.24
2025-12-21,Albany,Clothing,87.0,1989.69
2025-05-11,Syracuse,Groceries,131.0,
2025-09-27,Syracuse,Home_Goods,44.0,1390.4
2025-03-01,Syracuse,clothing,62.0,1488.62
2025-02-18,Utica,clothing,66.0,1497.54
2025-06-17,Albany,Cloth ing,71.0,1654.3
2025-11-26,Albany,Home Goods,35.0,1150.1
2025-07-19,Utica,clothing,79.0,1981.32
2025-10-26,Utica,Cloth ing,62.0,1454.52
2025-06-05,Albany,Groceries,,690.42
2025-06-11,Syracuse,Cloth ing,52.0,1151.8
2025-05-06,Utica,home goods,39.0,1204.71
2025-01-17,Syracuse,ELECTRONICS,29.0,2514.01
2025-09-12,Albany,Clothing,83.0,2066.7
2025-04-21,Utica,home goods,43.0,1240.12
2025-01-19,Albany,Home Goods,49.0,1416.1
2025-04-14,Syracuse,Home Goods,44.0,1492.04
2025-02-23,Albany,groceries,172.0,1131.76
2025-07-16,Utica,groceries,85.0,540.6
2025-07-12,Rome,clothing,69.0,1620.12
2025-02-10,Albany,Groceries,128.0,787.2
2025-04-10,Albany,toys,19.0,292.79
2025-02-13,Utica,Home Goods,12.0,387.96
2025-06-05,Rome,toys,22.0,312.84
2025-02-16,Albany,home goods,37.0,1124.8
2025-07-04,Syracuse,Electronics,33.0,2738.01
2025-09-24,Albany,ELECTRONICS,61.0,5010.54
2025-07-03,Syracuse,Toys,28.0,365.4
2025-02-02,Rome,clothing,86.0,2095.82
2025-04-08,Utica,toys,27.0,415.26
2025-05-13,Albany,clothing,68.0,1842.12
2025-08-19,Rome,Electronics,42.0,3470.46
2025-08-22,Utica,Clothing,,1274.65
2025-04-14,Utica,electronics,44.0,3674.88
2025-05-28,Albany,Groceries,125.0,871.25
2025-12-24,Albany,ELECTRONICS,49.0,3971.94
2025-04-16,Utica,Cloth ing,62.0,1360.9
2025-08-29,Rome,Groceries,126.0,808.92
2025-11-27,Syracuse,toys,37.0,576.46
2025-09-15,Albany,groceries,106.0,680.52
2025-09-12,Utica,Home Goods,30.0,912.6
2025-08-03,Syracuse,Clothing,74.0,1623.56
2025-11-30,Rome,Toys,23.0,336.95
2025-04-29,Utica,clothing,49.0,1193.15
2025-11-18,Utica,Toys,17.0,264.01
2025-02-27,Rome,toys,31.0,439.89
2025-08-26,Albany,home goods,22.0,707.52
2025-11-18,Rome,Electronics,31.0,2671.89
2025-08-22,Syracuse,Groceries,145.0,930.9
2025-09-17,Albany,Home Goods,46.0,1539.62
2025-09-27,Utica,ELECTRONICS,71.0,5524.51
2025-12-08,Syracuse,ELECTRONICS,53.0,4426.56
2025-02-27,Syracuse,home goods,33.0,1153.35
2025-08-28,Albany,home goods,16.0,529.44
2025-09-08,Utica,Toys,14.0,211.96
2025-07-26,Syracuse,Groceries,141.0,960.21
2025-03-19,Rome,Home_Goods,35.0,1200.15
2025-04-19,Rome,groceries,,1071.0
2025-07-09,Utica,electronics,45.0,3942.45
2025-02-06,Rome,Cloth ing,58.0,1321.24
2025-07-26,Syracuse,Cloth ing,59.0,1431.34
2025-10-14,Utica,Home Goods,34.0,1126.42
2025-02-03,Syracuse,ELECTRONICS,51.0,4301.85
2025-02-11,Syracuse,Clothing,73.0,1646.88
2025-09-23,Utica,Groceries,155.0,996.65
2025-03-13,Utica,Electronics,47.0,3701.72
2025-06-24,Albany,electronics,45.0,3632.85
2025-02-19,Albany,clothing,46.0,1018.44
2025-12-13,Albany,Groceries,143.0,932.36
2025-02-02,Syracuse,electronics,42.0,3703.56
2025-08-18,Syracuse,groceries,105.0,637.35
2025-11-16,Rome,groceries,153.0,1080.18
2025-04-05,Syracuse,home goods,47.0,1508.23
2025-05-04,Syracuse,toys,32.0,449.28
2025-03-22,Albany,ELECTRONICS,59.0,5091.11
2025-08-13,Albany,clothing,75.0,1813.5
2025-11-19,Rome,Toys,30.0,465.9
2025-05-05,Rome,Clothing,55.0,1309.55
2025-06-12,Rome,home goods,37.0,1137.38
2025-08-11,Utica,toys,31.0,438.96
2025-02-10,Syracuse,groceries,124.0,787.4
2025-10-12,Albany,Clothing,68.0,1846.88
2025-11-10,Rome,ELECTRONICS,42.0,3655.26
2025-09-09,Utica,Toys,24.0,340.56
2025-06-23,Albany,Electronics,28.0,2217.88
2025-11-15,Utica,Cloth ing,50.0,1262.5
2025-03-13,Syracuse,Clothing,64.0,1680.0
2025-02-04,Utica,Home_Goods,22.0,693.0
2025-11-06,Rome,Groceries,72.0,524.88
2025-04-13,Utica,Home_Goods,39.0,1122.42
2025-02-24,Utica,Cloth ing,71.0,1700.45
2025-07-26,Utica,Toys,34.0,504.56
2025-03-04,Albany,Groceries,126.0,884.52
2025-03-22,Albany,groceries,191.0,1298.8
2025-09-07,Utica,toys,25.0,387.75
2025-10-12,Albany,electronics,66.0,5866.08
2025-01-14,Utica,clothing,52.0,1298.96
2025-10-24,Albany,Electronics,39.0,3232.32
2025-08-30,Utica,Groceries,140.0,914.2
2025-01-18,Rome,electronics,45.0,3884.4
2025-10-01,Utica,groceries,169.0,1128.92
2025-06-12,Syracuse,ELECTRONICS,34.0,3045.38
2025-11-22,Utica,Groceries,154.0,971.74
2025-11-27,Albany,toys,21.0,322.14
2025-08-20,Syracuse,Groceries,141.0,783.96
2025-01-12,Syracuse,Toys,26.0,403.78
2025-08-17,Rome,Toys,33.0,507.87
2025-08-09,Syracuse,Groceries,206.0,1341.06
2025-03-09,Utica,Groceries,137.0,856.25
2025-07-30,Albany,toys,32.0,450.24
2025-07-17,Rome,electronics,38.0,3077.62
2025-05-24,Syracuse,Clothing,61.0,1335.29
2025-03-17,Rome,Clothing,56.0,1330.0
2025-08-05,Syracuse,home goods,58.0,1817.72
2025-02-26,Utica,electronics,30.0,2542.8
2025-08-08,Rome,Cloth ing,76.0,1732.04
2025-01-13,Syracuse,clothing,42.0,966.0
2025-09-26,Utica,home goods,55.0,1706.1
2025-12-27,Rome,Groceries,163.0,1049.72
2025-12-05,Albany,Toys,26.0,364.26
2025-02-15,Syracuse,Toys,36.0,573.84
2025-03-26,Albany,groceries,88.0,527.12
2025-01-23,Syracuse,toys,34.0,513.74
